,Initiation_date,ID,Age,Gender,Handedness,Response,ReactionTime,Stimulus,Rotation,Familiarity,Changed,Accuracy,StimulusTrigger,ResponseTrigger,Timestamp
0,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,1.3113053000997752,stimuli\5_unchanged_familiar_90rotation.jpg,90,1,0,1,212,2,1.3428985001519322
1,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.6132800998166203,stimuli\10_unchanged_unfamiliar_0rotation.jpg,0,0,0,1,111,2,2.9889279999770224
2,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.6417759999167174,stimuli\10_unchanged_unfamiliar_180rotation.jpg,180,0,0,1,113,2,4.662977200001478
3,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.5988586000166833,stimuli\1_changed_familiar_0rotation.jpg,0,1,1,1,221,1,6.2938536000438035
4,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.7050743999425322,stimuli\9_unchanged_unfamiliar_90rotation.jpg,90,0,0,1,112,2,8.031800100114197
5,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.7644238001666963,stimuli\2_unchanged_familiar_180rotation.jpg,180,1,0,1,213,2,9.830818800022826
6,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.586234699934721,stimuli\7_changed_unfamiliar_0rotation.jpg,0,0,1,1,121,1,11.448933199979365
7,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.6477620999794453,stimuli\6_changed_unfamiliar_90rotation.jpg,90,0,1,1,122,1,13.127811399986967
8,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,1.814687800128013,stimuli\1_changed_familiar_180rotation.jpg,180,1,1,0,223,2,15.974796700058505
9,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.6212521998677403,stimuli\3_unchanged_familiar_0rotation.jpg,0,1,0,1,211,2,17.62888259999454
10,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,1.1624922000337392,stimuli\6_changed_unfamiliar_180rotation.jpg,180,0,1,1,123,1,19.82884249999188
11,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.8654316000174731,stimuli\4_unchanged_familiar_90rotation.jpg,90,1,0,1,212,2,21.725871900096536
12,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.7260723998770118,stimuli\10_changed_unfamiliar_0rotation.jpg,0,0,1,1,121,1,23.484851400135085
13,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.8770791999995708,stimuli\9_changed_unfamiliar_180rotation.jpg,180,0,1,1,123,1,25.393844800069928
14,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,1.058137800078839,stimuli\4_unchanged_familiar_0rotation.jpg,0,1,0,1,211,2,27.48487660009414
15,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.7716167999897152,stimuli\8_unchanged_unfamiliar_180rotation.jpg,180,0,0,1,113,2,29.288910900009796
16,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.6014651998411864,stimuli\5_changed_familiar_0rotation.jpg,0,1,1,1,221,1,30.923862300114706
17,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,1.0234285001643002,stimuli\6_unchanged_unfamiliar_90rotation.jpg,90,0,0,1,112,2,32.98081940016709
18,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.6545216001104563,stimuli\3_changed_familiar_0rotation.jpg,0,1,1,1,221,1,34.669828000012785
19,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.9438621997833252,stimuli\8_changed_unfamiliar_90rotation.jpg,90,0,1,1,122,1,36.6448252000846
20,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.6593583999201655,stimuli\3_changed_familiar_90rotation.jpg,90,1,1,1,222,1,38.34282080014236
21,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.8326053000055254,stimuli\5_changed_familiar_90rotation.jpg,90,1,1,1,222,1,40.20983860013075
22,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.7332051999401301,stimuli\8_changed_unfamiliar_0rotation.jpg,0,0,1,1,121,1,41.9788683000952
23,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.6420200001448393,stimuli\7_unchanged_unfamiliar_0rotation.jpg,0,0,0,1,111,2,43.654816900147125
24,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.7263167998753488,stimuli\1_unchanged_familiar_0rotation.jpg,0,1,0,1,211,2,45.41787110012956
25,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.8529452001675963,stimuli\6_unchanged_unfamiliar_0rotation.jpg,0,0,0,1,111,2,47.31082180002704
26,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.9856075998395681,stimuli\5_changed_familiar_180rotation.jpg,180,1,1,1,223,1,49.337862299988046
27,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.6333059000317007,stimuli\6_changed_unfamiliar_0rotation.jpg,0,0,1,1,121,1,51.010857900138944
28,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.7671889001503587,stimuli\3_changed_familiar_180rotation.jpg,180,1,1,1,223,1,52.81680559995584
29,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.705270400037989,stimuli\4_changed_familiar_0rotation.jpg,0,1,1,1,221,1,54.562815099954605
30,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.7165630999952555,stimuli\5_unchanged_familiar_180rotation.jpg,180,1,0,1,213,2,56.32486469997093
31,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.6413451998960227,stimuli\2_changed_familiar_90rotation.jpg,90,1,1,1,222,1,58.005799300037324
32,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.598200700012967,stimuli\7_unchanged_unfamiliar_180rotation.jpg,180,0,0,1,113,2,59.642819500062615
33,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.6088562998920679,stimuli\7_changed_unfamiliar_90rotation.jpg,90,0,1,1,122,1,61.28979149996303
34,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.6357815000228584,stimuli\2_unchanged_familiar_90rotation.jpg,90,1,0,1,212,2,62.9648544001393
35,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.5568365000654012,stimuli\2_unchanged_familiar_0rotation.jpg,0,1,0,1,211,2,64.56185259995982
36,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.8969576999079436,stimuli\2_changed_familiar_180rotation.jpg,180,1,1,0,223,2,66.49881949997507
37,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.7459692000411451,stimuli\1_unchanged_familiar_180rotation.jpg,180,1,0,1,213,2,68.2859032000415
38,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.7805443999823183,stimuli\8_changed_unfamiliar_180rotation.jpg,180,0,1,1,123,1,70.10985670005903
39,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.7170749001670629,stimuli\9_unchanged_unfamiliar_180rotation.jpg,180,0,0,1,113,2,71.86775810015388
40,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.8068305000197142,stimuli\8_unchanged_unfamiliar_90rotation.jpg,90,0,0,1,112,2,73.71977830003016
41,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.6729070001747459,stimuli\5_unchanged_familiar_0rotation.jpg,0,1,0,1,211,2,75.43281379994005
42,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.5902865000534803,stimuli\9_changed_unfamiliar_0rotation.jpg,0,0,1,1,121,1,77.06279890006408
43,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.5931141001638025,stimuli\10_unchanged_unfamiliar_90rotation.jpg,90,0,0,1,112,2,78.69379139994271
44,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.713618400041014,stimuli\9_unchanged_unfamiliar_0rotation.jpg,0,0,0,1,111,2,80.446781600127
45,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.7953801997937262,stimuli\6_unchanged_unfamiliar_180rotation.jpg,180,0,0,1,113,2,82.27980859996751
46,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.7523529999889433,stimuli\10_changed_unfamiliar_180rotation.jpg,180,0,1,1,123,1,84.06877260003239
47,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,1.1483850001823157,stimuli\4_changed_familiar_180rotation.jpg,180,1,1,1,223,1,86.25679410016164
48,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.6488022000994533,stimuli\2_changed_familiar_0rotation.jpg,0,1,1,1,221,1,87.94677060004324
49,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.7133339999709278,stimuli\10_changed_unfamiliar_90rotation.jpg,90,0,1,1,122,1,89.69775309995748
50,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.7667695998679847,stimuli\3_unchanged_familiar_90rotation.jpg,90,1,0,1,212,2,91.51174929994158
51,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,1.230845500016585,stimuli\7_changed_unfamiliar_180rotation.jpg,180,0,1,1,123,1,93.77978840004653
52,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.9207464000210166,stimuli\3_unchanged_familiar_180rotation.jpg,180,1,0,1,213,2,95.74170770007186
53,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.6997968000359833,stimuli\1_unchanged_familiar_90rotation.jpg,90,1,0,1,212,2,97.48175380006433
54,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.7983802000526339,stimuli\7_unchanged_unfamiliar_90rotation.jpg,90,0,0,1,112,2,99.32183170015924
55,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.696243500104174,stimuli\8_unchanged_unfamiliar_0rotation.jpg,0,0,0,1,111,2,101.05777140008286
56,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.6433856999501586,stimuli\4_changed_familiar_90rotation.jpg,90,1,1,1,222,1,102.74276229995303
57,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,no_change,0.7037897000554949,stimuli\4_unchanged_familiar_180rotation.jpg,180,1,0,1,213,2,104.48582200007513
58,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.6154933997895569,stimuli\9_changed_unfamiliar_90rotation.jpg,90,0,1,1,122,1,106.13976570009254
59,2023-03-01_14h23.51.994,group8_2,25,male,right-handed,change,0.6649140000808984,stimuli\1_changed_familiar_90rotation.jpg,90,1,1,1,222,1,107.84572420013137
